data-object,key,description.en-US,externalId,name.en-US,slug.en-US,parent.key,parent.typeId
category,abilityLevelKey,abilityLevelDescription,abilityLevelId,AbilityLevel,abilityLevelSlug,,
category,brandKey,brandDescription,brandId,Brand,brandSlug,,
category,ageGroupKey,ageGroupDescription,ageGroupId,AgeGroup,ageGroupSlug,,
category,terrainKey,terrainDescription,terrainId,Terrain,terrainSlug,,
category,Advanced-ExpertKey,Advanced-ExpertDescription,Advanced-ExpertId,Advanced-Expert,Advanced-ExpertSlug,abilityLevelKey,category
category,LibTechKey,LibTechDescription,LibTechId,LibTech,LibTechSlug,brandKey,category
category,adult-maleKey,adult-maleDescription,adult-maleId,Adult-male,adult-maleSlug,ageGroupKey,category
category,FreestyleKey,FreestyleDescription,FreestyleId,Freestyle,FreestyleSlug,terrainKey,category
category,All-MountainKey,All-MountainDescription,All-MountainId,All-Mountain,All-MountainSlug,terrainKey,category
category,FreerideKey,FreerideDescription,FreerideId,Freeride,FreerideSlug,terrainKey,category
category,Intermediate-AdvancedKey,Intermediate-AdvancedDescription,Intermediate-AdvancedId,Intermediate-Advanced,Intermediate-AdvancedSlug,abilityLevelKey,category
category,RideKey,RideDescription,RideId,Ride,RideSlug,brandKey,category
category,adult-anyKey,adult-anyDescription,adult-anyId,Adult-any,adult-anySlug,ageGroupKey,category
category,CAPiTAKey,CAPiTADescription,CAPiTAId,CAPiTA,CAPiTASlug,brandKey,category
category,SeasonKey,SeasonDescription,SeasonId,Season,SeasonSlug,brandKey,category
category,PowderKey,PowderDescription,PowderId,Powder,PowderSlug,terrainKey,category
category,Beginner-IntermediateKey,Beginner-IntermediateDescription,Beginner-IntermediateId,Beginner-Intermediate,Beginner-IntermediateSlug,abilityLevelKey,category
category,RossignolKey,RossignolDescription,RossignolId,Rossignol,RossignolSlug,brandKey,category
category,adult-femaleKey,adult-femaleDescription,adult-femaleId,Adult-female,adult-femaleSlug,ageGroupKey,category
category,K2Key,K2Description,K2Id,K2,K2Slug,brandKey,category
